day,mouse_number,car,length,width,,Area1,Notes,,,,,,
29,110-5,NT,10.16,5.98,,181.662832,,,,,,,
29,111-1,Unt,10.87,6.72,,245.435904,,,,,,,
29,111-2,Unt,6.24,5.47,,93.353208,,,,,,,
29,111-3,Unt,12.51,5.25,,172.4034375,,,,,,,
29,111-4,Unt,10.86,5.44,,160.693248,,,,,,,
29,111-5,Unt,7.12,4.55,,73.7009,,,,,,,
29,112-1,CD40,9.33,4.58,,97.854906,,,,,,,
29,112-2,CD40,10.51,6.39,,214.5726855,,,,,,,
29,112-3,CD40,9.88,5.45,,146.73035,,,,,,,
29,112-4,CD40,8.44,6.71,,190.001702,,,,,,,
29,804-1,BAFFR,9.16,5.00,,114.5,,,,,,,
29,804-2,BAFFR,7.63,4.04,,62.266904,,,,,,,
29,804-3,BAFFR,5.56,3.91,,42.500918,,,,,,,
29,804-4,BAFFR,8.53,4.25,,77.0365625,,,,,,,
29,804-5,BAFFR,5.44,3.60,,35.2512,,,,,,,
29,805-1,41BB,7.58,3.47,,45.635011,,,,,,,
29,805-2,CD40-CD28,0.00,0.00,,0,,,,,,,
29,805-3,CD28-41BB,4.65,3.17,,23.3636925,,,,,,,
29,805-4,CD28-41BB,0.00,0.00,,0,,,,,,,
29,806-1,41BB,10.04,6.33,,201.145878,,,,,,,
29,806-2,41BB,4.91,4.24,,44.135008,,,,,,,
29,806-3,41BB,9.45,7.00,,231.525,,,,,,,
29,806-4,41BB,7.74,3.79,,55.589067,,,,,,,
29,807-1,CD28,5.78,3.16,,28.858384,,,,,,,
29,807-2,CD28,0.00,0.00,,0,,,,,,,
29,807-3,CD28,0.00,0.00,,0,,,,,,,
29,807-4,CD28,0.00,0.00,,0,,,,,,,
29,808-1,CD28-41BB,7.86,2.41,,22.825833,,,,,,,
29,808-2,CD28-41BB,0.00,0.00,,0,,,,,,,
29,808-3,CD28-41BB,0.00,0.00,,0,,,,,,,
29,808-4,41BB,8.49,7.66,,249.077922,,,,,,,
29,809-1,BAFFR-41BB,4.86,2.50,,15.1875,,,,,,,
29,809-2,BAFFR-41BB,0.00,0.00,,0,,,,,,,
29,809-3,BAFFR-41BB,7.57,6.97,,183.8787065,,,,,,,
29,809-4,BAFFR-41BB,0.00,0.00,,0,,,,,,,
29,809-5,BAFFR-41BB,10.03,4.06,,82.665254,,,,,,,
29,810-1,CD40-41BB,6.61,3.72,,45.735912,,,,,,,
29,810-2,CD40-41BB,4.32,2.82,,17.177184,,,,,,,
29,810-3,CD40-41BB,0.00,0.00,,0,,,,,,,
29,810-4,CD40-41BB,4.75,2.57,,15.6866375,,,,,,,
29,810-5,CD40-41BB,0.00,0.00,,0,,,,,,,
29,811-1,CD40-CD28,0.00,0.00,,0,,,,,,,
29,811-2,CD40-CD28,0.00,0.00,,0,,,,,,,
29,811-3,CD40-CD28,0.00,0.00,,0,,,,,,,
29,811-4,CD40-CD28,0.00,0.00,,0,,,,,,,
33,110-1,NT,15.09,6.77,,345.8092305,,,,,,,
33,110-2,NT,9.97,4.95,,122.1449625,,,,,,,
33,110-3,NT,9.93,5.83,,168.7548885,,,,,,,
33,110-4,NT,11.14,4.70,,123.0413,,,,,,,
33,110-5,NT,13.23,5.61,,208.1879415,,,,,,,
33,111-1,Unt,11.40,7.29,,302.92137,,,,,,,
33,111-2,Unt,8.05,6.54,,172.15569,,,,,,,
33,111-3,Unt,12.79,5.94,,225.638622,,,,,,,
33,111-4,Unt,11.86,6.20,,227.9492,,,,,,,
33,111-5,Unt,8.32,6.92,,199.207424,,,,,,,
33,112-1,CD40,8.57,5.29,,119.9118685,,,,,,,
33,112-2,CD40,11.04,6.58,,238.996128,,,,,,,
33,112-3,CD40,8.27,5.31,,116.5908735,,,,,,,
33,112-4,CD40,9.05,6.72,,204.34176,,,,,,,
33,804-1,BAFFR,9.43,4.96,,115.996544,,,,,,,
33,804-2,BAFFR,7.70,4.22,,68.56234,,,,,,,
33,804-3,BAFFR,5.69,4.30,,52.60405,,,,,,,
33,804-4,BAFFR,8.34,3.96,,65.392272,,,,,,,
33,804-5,BAFFR,5.82,3.79,,41.799531,,,,,,,
33,805-1,41BB,9.59,3.77,,68.1508555,,,,,,,
33,805-2,CD40-CD28,0.00,0.00,,0,,,,,,,
33,805-3,CD28-41BB,4.50,3.60,,29.16,,,,,,,
33,805-4,CD28-41BB,0.00,0.00,,0,,,,,,,
33,806-1,41BB,8.80,6.08,,162.65216,,,,,,,
33,806-2,41BB,6.01,4.07,,49.7775245,,,,,,,
33,806-3,41BB,10.98,7.52,,310.461696,,,,,,,
33,806-4,41BB,8.10,4.44,,79.84008,,,,,,,
33,807-1,CD28,3.55,3.00,,15.975,,,,,,,
33,807-2,CD28,0.00,0.00,,0,,,,,,,
33,807-3,CD28,0.00,0.00,,0,,,,,,,
33,807-4,CD28,0.00,0.00,,0,,,,,,,
33,808-1,CD28-41BB,4.09,2.16,,9.541152,,,,,,,
33,808-2,CD28-41BB,0.00,0.00,,0,,,,,,,
33,808-3,CD28-41BB,0.00,0.00,,0,,,,,,,
33,808-4,41BB,9.04,6.45,,188.0433,,,,,,,
33,809-1,BAFFR-41BB,5.40,3.80,,38.988,,,,,,,
33,809-2,BAFFR-41BB,0.00,0.00,,0,,,,,,,
33,809-3,BAFFR-41BB,7.52,6.61,,164.282296,,,,,,,
33,809-4,BAFFR-41BB,0.00,0.00,,0,,,,,,,
33,809-5,BAFFR-41BB,10.97,4.74,,123.234786,,,,,,,
33,810-1,CD40-41BB,8.86,4.78,,101.218412,,,,,,,
33,810-2,CD40-41BB,5.03,3.23,,26.2387435,,,,,,,
33,810-3,CD40-41BB,0.00,0.00,,0,,,,,,,
33,810-4,CD40-41BB,4.90,3.05,,22.791125,,,,,,,
33,810-5,CD40-41BB,0.00,0.00,,0,,,,,,,
33,811-1,CD40-CD28,0.00,0.00,,0,,,,,,,
33,811-2,CD40-CD28,0.00,0.00,,0,,,,,,,
33,811-3,CD40-CD28,0.00,0.00,,0,,,,,,,
33,811-4,CD40-CD28,0.00,0.00,,0,,,,,,,
43,110-1,NT,16.54,7.3,,440.7083,,,,,,,
43,110-2,NT,12.13,5.38,,175.547786,,,,,,,
43,110-3,NT,11.67,6.1,,217.12035,,,,,,,
43,110-4,NT,18.04,4.79,,206.955782,,,,,,,
43,110-5,NT,14.08,6.18,,268.874496,,,,,,,
43,111-1,Unt,12.61,7.6,,364.1768,,,,,,,
43,111-2,Unt,8.66,7,,212.17,,,,,,,
43,111-3,Unt,12.77,6.73,,289.1951665,,,,,,,
43,111-4,Unt,16.35,6.73,,370.2694575,,,,,,,
43,111-5,Unt,7.84,7.88,,243.410048,,,,,,,
43,112-1,CD40,9.56,4.86,,112.901688,,,,,,,
43,112-2,CD40,12.87,6.7,,288.86715,,,,,,,
43,112-3,CD40,14.6,4.84,,171.00688,,,,,,,
43,112-4,CD40,8.74,6.6,,190.3572,,,,,,,
43,804-1,BAFFR,16.12,7.55,,459.44015,,,,,,,
43,804-2,BAFFR,9.02,4.54,,92.958316,,,,,,,
43,804-3,BAFFR,9.83,3.51,,60.5532915,,,,,,,
43,804-4,BAFFR,9.47,3.65,,63.0820375,,,,,,,
43,804-5,BAFFR,5.82,3.6,,37.7136,,,,,,,
43,805-1,41BB,13.4,4.3,,123.883,,,,,,,
43,805-2,CD40-CD28,5.9,2.95,,25.672375,,,,,,,
43,805-3,CD28-41BB,5.94,3.67,,40.002633,,,,,,,
43,805-4,CD28-41BB,0,0,,0,,,,,,,
43,806-1,41BB,9.04,7.75,,271.4825,,,,,,,
43,806-2,41BB,6.78,5.57,,105.174411,,,,,,,
43,806-3,41BB,13.34,8.28,,457.284528,,,,,,,
43,806-4,41BB,9.33,5.13,,122.7683385,,,,,,,
43,807-1,CD28,0,0,,0,,,,,,,
43,807-2,CD28,0,0,,0,,,,,,,
43,807-3,CD28,0,0,,0,,,,,,,
43,807-4,CD28,0,0,,0,,,,,,,
43,808-1,CD28-41BB,3.96,3.11,,19.150758,,,,,,,
43,808-2,CD28-41BB,0,0,,0,,,,,,,
