# z-score heatmap data: Fig 3A
Domain Name,Assay Name,T Cell Type,K562 Condition,Z-score,Internal name for measurement z-score,Adjusted P-value
CRTAM,IL2,CD4,pos,0.172443602911638,pct_pos,0.863088795406324
CRTAM,IFNy,CD4,pos,0.102878981856916,pct_pos,0.918059019222201
CRTAM,IL2,CD8,pos,-0.0677448581679497,pct_pos,0.945988739655463
CRTAM,IFNy,CD8,pos,0.12017243007166,pct_pos,0.904346557094051
CTLA4,IL2,CD4,pos,0.769778574850243,pct_pos,0.441431250958111
CTLA4,IFNy,CD4,pos,0.431779586145149,pct_pos,0.665901617676807
CTLA4,IL2,CD8,pos,0.747664686148058,pct_pos,0.454662436759184
CTLA4,IFNy,CD8,pos,0.38444946469669,pct_pos,0.700645344539014
CXADR,IL2,CD4,pos,0.656302468011137,pct_pos,0.511629529906162
CXADR,IFNy,CD4,pos,0.555676256157395,pct_pos,0.578432191063911
CXADR,IL2,CD8,pos,-0.0224037422256903,pct_pos,0.982125895237701
CXADR,IFNy,CD8,pos,0.170483136127362,pct_pos,0.864630195643925
DC-SIGN,IL2,CD4,pos,-1.53719178651434,pct_pos,0.124246351089468
DC-SIGN,IFNy,CD4,pos,-0.859075653910695,pct_pos,0.390298778306083
DC-SIGN,IL2,CD8,pos,-0.881866917281983,pct_pos,0.377848779201631
DC-SIGN,IFNy,CD8,pos,-2.12789013286889,pct_pos,0.0333461938767648
HAVCR2,IL2,CD4,pos,-0.25244182413209,pct_pos,0.800699575692792
HAVCR2,IFNy,CD4,pos,-0.742327246989548,pct_pos,0.457889087263684
HAVCR2,IL2,CD8,pos,-0.227357980166662,pct_pos,0.820145391677111
HAVCR2,IFNy,CD8,pos,-0.529674042644244,pct_pos,0.596337948095815
ICOS,IL2,CD4,pos,-0.1226325889037,pct_pos,0.902398046996571
ICOS,IFNy,CD4,pos,0.106542728686246,pct_pos,0.915151755723739
ICOS,IL2,CD8,pos,-0.0611487888922957,pct_pos,0.951240713901786
ICOS,IFNy,CD8,pos,-0.415578889833257,pct_pos,0.677718176639299
ILT4,IL2,CD4,pos,-1.42485127907312,pct_pos,0.154200195667967
ILT4,IFNy,CD4,pos,-1.96870290197167,pct_pos,0.0489872178745022
ILT4,IL2,CD8,pos,-0.386196074200837,pct_pos,0.699351460984448
ILT4,IFNy,CD8,pos,0.480680910990089,pct_pos,0.630743300171973
KIR2DL1,IL2,CD4,pos,-0.849325968528752,pct_pos,0.395699934710676
KIR2DL1,IFNy,CD4,pos,0.552282233640082,pct_pos,0.58075500095793
KIR2DL1,IL2,CD8,pos,-0.246843278244651,pct_pos,0.805029515420165
KIR2DL1,IFNy,CD8,pos,0.472127464971726,pct_pos,0.636835809639616
KIR3DL1,IL2,CD4,pos,-0.968877642483904,pct_pos,0.332606241708241
KIR3DL1,IFNy,CD4,pos,-0.636911914646207,pct_pos,0.524182221455722
KIR3DL1,IL2,CD8,pos,-1.87672781918903,pct_pos,0.0605554077729271
KIR3DL1,IFNy,CD8,pos,-0.966672577789866,pct_pos,0.333707739795506
KLRG1,IL2,CD4,pos,-0.0247556390383873,pct_pos,0.980249875122296
KLRG1,IFNy,CD4,pos,-2.05281782613242,pct_pos,0.040090248998773
LAG3,IL2,CD4,pos,-0.0943753144302268,pct_pos,0.924811024499498
LAG3,IFNy,CD4,pos,-0.0317178513527047,pct_pos,0.974697058727948
LAG3,IL2,CD8,pos,-0.355520093665317,pct_pos,0.722199994296325
LAG3,IFNy,CD8,pos,-0.406889832026714,pct_pos,0.684088904292995
LAIR1,IL2,CD4,pos,0.00445185892718793,pct_pos,0.996447942228195
LAIR1,IFNy,CD4,pos,-1.02713633931158,pct_pos,0.304356269369384
LAIR1,IL2,CD8,pos,-0.603312231844152,pct_pos,0.546300997256381
LAIR1,IFNy,CD8,pos,-1.1216642620985,pct_pos,0.262005217161668
TIM1,IL2,CD4,pos,-1.01315238186206,pct_pos,0.310987381264447
TIM1,IFNy,CD4,pos,-0.981475670703399,pct_pos,0.326358226300831
TIM1,IL2,CD8,pos,-1.156130038066,pct_pos,0.247627971119351
TIM1,IFNy,CD8,pos,-2.02030608800632,pct_pos,0.0433516477115562
NKR-P1A,IL2,CD4,pos,-0.920189196579718,pct_pos,0.357473898884393
NKR-P1A,IFNy,CD4,pos,-1.04110900834296,pct_pos,0.297824959150725
NKR-P1A,IL2,CD8,pos,-1.01179845579319,pct_pos,0.31163442847638
NKR-P1A,IFNy,CD8,pos,-2.62023631023452,pct_pos,0.00878688549943582
