# Differentiation Arrayed Data: Fig S4H
Domain Name,Measurement Day,Differentiation Status,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation
CD28,15,TEM,1,cd8,cd19-,0.520933333333333,0.0173865848668833
CD28,15,TEMRA,1,cd8,cd19-,0.391466666666667,0.0183753458017348
CD40,15,Naive,1,cd8,cd19-,0.202,0.0165553616692599
CD40,15,TCM,1,cd8,cd19-,0.148,0.0169280831755991
CD40,15,TEM,1,cd8,cd19-,0.3576,0.0152630272226711
CD40,15,TEMRA,1,cd8,cd19-,0.2924,0.0209494630002776
KLRG1,15,Naive,1,cd8,cd19-,0.2668,0.00914767730082341
KLRG1,15,TCM,1,cd8,cd19-,0.123466666666667,0.0110369077795066
KLRG1,15,TEM,1,cd8,cd19-,0.337333333333333,0.0122659420075807
KLRG1,15,TEMRA,1,cd8,cd19-,0.2724,0.0107851750101702
TACI,15,Naive,1,cd8,cd19-,0.107466666666667,0.0140076169755363
TACI,15,TCM,1,cd8,cd19-,0.0529333333333333,0.00402657836547773
TACI,15,TEM,1,cd8,cd19-,0.397066666666667,0.0232080445822851
TACI,15,TEMRA,1,cd8,cd19-,0.442533333333333,0.0153692333358998
TNR8,15,Naive,1,cd8,cd19-,0.0638666666666667,0.00349475797922164
TNR8,15,TCM,1,cd8,cd19-,0.0646666666666667,0.00620107517559119
TNR8,15,TEM,1,cd8,cd19-,0.460266666666667,0.00812239701894298
TNR8,15,TEMRA,1,cd8,cd19-,0.4112,0.0156614175603615
zeta,15,Naive,1,cd8,cd19-,0.170722584238374,0.0138533313065426
zeta,15,TCM,1,cd8,cd19-,0.0530754664438875,0.0189441991881185
zeta,15,TEM,1,cd8,cd19-,0.316807574491785,0.0291916589811827
zeta,15,TEMRA,1,cd8,cd19-,0.459394374825954,0.0320112260178887
41BB,24,Naive,1,cd4,cd19-,0.163133333333333,0.104420815294014
41BB,24,TCM,1,cd4,cd19-,0.138066666666667,0.00997089096654189
41BB,24,TEM,1,cd4,cd19-,0.4314,0.265418100362428
41BB,24,TEMRA,1,cd4,cd19-,0.2674,0.160573322815466
BAFF-R,24,Naive,1,cd4,cd19-,0.20856,0.111506268882068
BAFF-R,24,TCM,1,cd4,cd19-,0.14216,0.024528514019402
BAFF-R,24,TEM,1,cd4,cd19-,0.4384,0.219896703022124
BAFF-R,24,TEMRA,1,cd4,cd19-,0.21088,0.132071314069332
CD28,24,Naive,1,cd4,cd19-,0.320066666666667,0.263233118483725
CD28,24,TCM,1,cd4,cd19-,0.2118,0.058395479277081
CD28,24,TEM,1,cd4,cd19-,0.346866666666667,0.254528699102217
CD28,24,TEMRA,1,cd4,cd19-,0.121266666666667,0.0499813832008146
