"# m28 arrayed data: Fig 7A, 7B, S7B, S7C"
Domain Name,Cage Number,Mouse Number,"Tumor Volume, L*W^2",Tumor Measurement Day
CD28-KO,244,1,0,21
CD28-KO,244,2,0,21
CD28-KO,244,3,0,21
CD28-KO,244,4,0,21
CD28-KO,244,5,0,21
CD28-Lenti,245,1,0,21
CD28-Lenti,245,2,0,21
CD28-Lenti,245,3,0,21
CD28-Lenti,245,4,0,21
CD28-Lenti,245,5,0,21
NT,240,1,68.1568,28
NT,240,2,40.5504,28
NT,240,3,77.571,28
NT,240,4,107.6,28
Unt,241,1,159.387984,28
Unt,241,2,112,28
Unt,241,3,146.168,28
Unt,241,4,396.396099,28
41BB-ALPPL2,242,1,0,28
41BB-ALPPL2,242,2,0,28
41BB-ALPPL2,242,3,0,28
41BB-ALPPL2,242,4,,28
41BB-CD19,243,1,0,28
41BB-CD19,243,2,0,28
41BB-CD19,243,3,0,28
41BB-CD19,243,4,0,28
41BB-CD19,243,5,0,28
CD28-KO,244,1,0,28
CD28-KO,244,2,0,28
CD28-KO,244,3,0,28
CD28-KO,244,4,0,28
CD28-KO,244,5,0,28
CD28-Lenti,245,1,0,28
CD28-Lenti,245,2,0,28
CD28-Lenti,245,3,0,28
CD28-Lenti,245,4,0,28
CD28-Lenti,245,5,0,28
NT,240,1,365.6862,48
NT,240,2,285.914167,48
NT,240,3,273.494284,48
NT,240,4,322.552872,48
Unt,241,1,237.2004565,48
Unt,241,2,142.630206,48
Unt,241,3,148.36608,48
Unt,241,4,146.661589,48
41BB-ALPPL2,242,1,0,48
41BB-ALPPL2,242,2,0,48
41BB-ALPPL2,242,3,0,48
41BB-ALPPL2,242,4,,48
41BB-CD19,243,1,0,48
41BB-CD19,243,2,,48
41BB-CD19,243,3,0,48
41BB-CD19,243,4,0,48
41BB-CD19,243,5,0,48
CD28-KO,244,1,0,48
CD28-KO,244,2,0,48
CD28-KO,244,3,0,48
CD28-KO,244,4,0,48
CD28-KO,244,5,0,48
CD28-Lenti,245,1,0,48
CD28-Lenti,245,2,0,48
CD28-Lenti,245,3,0,48
CD28-Lenti,245,4,0,48
CD28-Lenti,245,5,0,48
NT,240,1,0,0
NT,240,2,0,0
NT,240,3,0,0
NT,240,4,0,0
Unt,241,1,0,0
Unt,241,2,0,0
Unt,241,3,0,0
Unt,241,4,0,0
41BB-ALPPL2,242,1,0,0
41BB-ALPPL2,242,2,0,0
41BB-ALPPL2,242,3,0,0
41BB-ALPPL2,242,4,0,0
41BB-CD19,243,1,0,0
41BB-CD19,243,2,0,0
41BB-CD19,243,3,0,0
41BB-CD19,243,4,0,0
41BB-CD19,243,5,0,0
CD28-KO,244,1,0,0
CD28-KO,244,2,0,0
CD28-KO,244,3,0,0
CD28-KO,244,4,0,0
CD28-KO,244,5,0,0
CD28-Lenti,245,1,0,0
CD28-Lenti,245,2,0,0
CD28-Lenti,245,3,0,0
CD28-Lenti,245,4,0,0
CD28-Lenti,245,5,0,0
