"# Cytokine data: Fig 2B, S2C"
Domain Name,Cytokine Bin,Cytokine Sort Group (IL2/IFNg/both),Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,Sorted Cell Group,Number of CAR-T cells in bin for this domain,Number of CAR-T cells in bin for this domain,"Number of CAR-T cells in bin for this domain, including double positive cells","Log2 Fold Change, Domain Mean","Log2 Fold Change, Domain/Donor Mean","Log2 Fold Change, Domain/Subset Mean","Sort Group (Subset, Cytokine, Donor, Replicate)",Domain Rank within Sort Group
CD40,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,5098.73339589624,0.112698244275314,0.128105128771208,-0.55758036209666,-1.43202692287196,-1.09662743669134,67_il2.ifng_CD8_pos,29
CD40,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,79.3767997915174,0.000568146336110844,0.00158386201673328,-1.99285545393827,-1.55266437490176,-1.21516981787038,68_il2.ifng_CD4_pos,31
CD40,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,831.445868111485,0.00595114598828311,0.00696686166890554,-1.84564361345158,-1.37113093257378,-1.09662743669134,68_il2.ifng_CD4_pos,33
CD40,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,483.533472869944,0.0143988377393658,0.0236064818026898,-1.11247329586526,-1.55266437490176,-1.21516981787038,68_il2.ifng_CD8_pos,21
CD40,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,1813.58204073417,0.0540055135719277,0.0632131576352518,-0.896618251695981,-1.37113093257378,-1.09662743669134,68_il2.ifng_CD8_pos,29
CD7,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,138.902944251663,0.00538196165858231,0.0077515819780891,-0.627524120214458,-0.183135581414212,0.422894266314695,67_il2.ifng_CD4_pos,10
CD7,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,311.00052507016,0.0120500894401058,0.0144197097596126,-1.16005383326,-0.538802341245563,0.00511169905899335,67_il2.ifng_CD4_pos,20
CD7,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,9.85384932070811,0.000301475919744648,0.0659889881603346,0.261252957386033,-0.183135581414212,0.422894266314695,67_il2.ifng_CD8_pos,7
CD7,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,4378.09068447443,0.133946529205965,0.199634041446555,0.0824491507688751,-0.538802341245563,0.00511169905899335,67_il2.ifng_CD8_pos,14
CD7,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,272.681249592807,0.00525432510442039,0.0152579656859765,1.27518860845803,1.01987248803006,0.422894266314695,68_il2.ifng_CD4_pos,5
CD7,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,1734.3767999219,0.0334198980456569,0.043423538627213,0.794252860802286,0.364961919791357,0.00511169905899335,68_il2.ifng_CD4_pos,5
CD7,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,1707.20514269343,0.0836856837815991,0.0867108609173836,0.764556367602093,1.01987248803006,0.422894266314695,68_il2.ifng_CD8_pos,4
CD7,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,2234.36065718132,0.109526380125543,0.112551557261327,-0.0643290212195721,0.364961919791357,0.00511169905899335,68_il2.ifng_CD8_pos,11
CD72,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,2.65015986544027,0.00264213943185832,0.00302845984027479,-1.98343061214966,-2.06293751494893,-1.50003618814279,67_il2.ifng_CD4_pos,23
CD72,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,0.101752389327884,0.000101444446289786,0.000487764854706264,-6.04576633902201,-3.33488807091372,-1.82783768928106,67_il2.ifng_CD4_pos,31
CD72,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,0.570486013304154,0.000615427490772902,0.0124705744296262,-2.14244441774819,-2.06293751494893,-1.50003618814279,67_il2.ifng_CD8_pos,32
CD72,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,102.416922811885,0.110485074741343,0.122340221680197,-0.624009802805418,-3.33488807091372,-1.82783768928106,67_il2.ifng_CD8_pos,30
CD72,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,3.36758094989902,0.00165143603185878,0.00210029488365496,-1.58571021173776,-1.45079535074484,-1.50003618814279,68_il2.ifng_CD4_pos,25
CD72,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,18.3714794747889,0.00900923351645941,0.00945809236825559,-1.40460330017343,-0.974951381799894,-1.82783768928106,68_il2.ifng_CD4_pos,30
CD72,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,10.5671128654878,0.0161469059467744,0.0205021591303435,-1.31588048975191,-1.45079535074484,-1.50003618814279,68_il2.ifng_CD8_pos,26
CD72,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,49.9252242392221,0.0762874316214782,0.0806426848050473,-0.545299463426353,-0.974951381799894,-1.82783768928106,68_il2.ifng_CD8_pos,24
CD96,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,9.93809949540103,0.00339765767986155,0.00516906355477205,-1.21211195176685,-1.20126859001241,-1.23471259330182,67_il2.ifng_CD4_pos,13
CD96,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,41.311470067121,0.014123649456808,0.0158950553317185,-1.0195179209186,-0.681005698347334,-0.460554204198793,67_il2.ifng_CD4_pos,19
CD96,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,0.72607310784165,0.000207152270409303,0.0241253038168672,-1.19042522825796,-1.20126859001241,-1.23471259330182,67_il2.ifng_CD8_pos,23
CD96,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,437.366813553482,0.124782928124981,0.148701079671439,-0.342493475776064,-0.681005698347334,-0.460554204198793,67_il2.ifng_CD8_pos,24
CD96,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,6.19157599843638,0.000925681375397327,0.00137305664984645,-2.19891096006747,-1.89691190528513,-1.23471259330182,68_il2.ifng_CD4_pos,32
CD96,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,93.858251574169,0.0140324265472162,0.0144798018216653,-0.790182579532472,-0.563347655098963,-0.460554204198793,68_il2.ifng_CD4_pos,25
CD96,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,22.4551148391615,0.0113335176108215,0.0168967232042586,-1.59491285050279,-1.89691190528513,-1.23471259330182,68_il2.ifng_CD8_pos,30
CD96,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,173.634964964587,0.0876368233863816,0.0932000289798188,-0.336512730665453,-0.563347655098963,-0.460554204198793,68_il2.ifng_CD8_pos,18
CRACC,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,0.720152137347901,0.000828087127353553,0.00431626232397599,-1.47223234408355,-1.36057023603198,-1.15603294231479,67_il2.ifng_CD4_pos,16
CRACC,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,51.7806603468567,0.0595414441690174,0.0630296193656399,0.967933990839425,0.675357451151688,0.389205131818869,67_il2.ifng_CD4_pos,4
